Date,adm0_a3,Province/State,Country/Region,Lat,Long,Population,Confirmed,r_Confirmed,i_Confirmed,ri_Confirmed,Tot_Confirmed,iTot_Confirmed,rTot_Confirmed,riTot_Confirmed,Deaths,r_Deaths,i_Deaths,ri_Deaths,Tot_Deaths,iTot_Deaths,rTot_Deaths,riTot_Deaths
2/7/22,ECU,NA,Ecuador,-1.8312,-78.1834,17643060.0,769149,4359.4989,0.0,0.0,769149,0.0,4359.4989,0.0,34739,196.899,0.0,0.0,34739,0.0,196.899,0.0
2/7/22,EGY,NA,Egypt,26.8206,30.8025,102334403.0,441923,431.8421,2272.0,2.2202,441923,2272.0,431.8421,2.2202,22993,22.4685,57.0,0.0557,22993,57.0,22.4685,0.0557
2/7/22,SLV,NA,El Salvador,13.7942,-88.8965,6486201.0,135109,2083.0221,0.0,0.0,135109,0.0,2083.0221,0.0,3952,60.9293,10.0,0.1542,3952,10.0,60.9293,0.1542
2/7/22,GNQ,NA,Equatorial Guinea,1.6508,10.2679,1402985.0,15850,1129.7341,5.0,0.3564,15850,5.0,1129.7341,0.3564,182,12.9723,0.0,0.0,182,0.0,12.9723,0.0
2/7/22,ERI,NA,Eritrea,15.1794,39.7823,3546427.0,9644,271.9357,7.0,0.1974,9644,7.0,271.9357,0.1974,101,2.8479,1.0,0.0282,101,1.0,2.8479,0.0282
2/7/22,EST,NA,Estonia,58.5953,25.0136,1326539.0,385567,29065.6362,4621.0,348.3501,385567,4621.0,29065.6362,348.3501,2065,155.6682,6.0,0.4523,2065,6.0,155.6682,0.4523
2/7/22,SWZ,NA,Eswatini,-26.5225,31.4659,1160164.0,68579,5911.147,26.0,2.2411,68579,26.0,5911.147,2.2411,1378,118.7763,0.0,0.0,1378,0.0,118.7763,0.0
2/7/22,ETH,NA,Ethiopia,9.145,40.4897,114963583.0,466677,405.9346,138.0,0.12,466677,138.0,405.9346,0.12,7373,6.4133,10.0,0.0087,7373,10.0,6.4133,0.0087
2/7/22,FJI,NA,Fiji,-17.7134,178.065,896444.0,63356,7067.48,82.0,9.1473,63356,82.0,7067.48,9.1473,813,90.6917,2.0,0.2231,813,2.0,90.6917,0.2231
2/7/22,FIN,NA,Finland,61.9241,25.7482,5540718.0,534790,9651.9982,19898.0,359.1231,534790,19898.0,9651.9982,359.1231,2095,37.811,37.0,0.6678,2095,37.0,37.811,0.6678
2/7/22,GUF,French Guiana,France,4.0,-53.0,298682.0,76509,25615.5376,110.0,36.8285,76509,110.0,25615.5376,36.8285,383,128.23,2.0,0.6696,383,2.0,128.23,0.6696
2/7/22,PYF,French Polynesia,France,-17.6797,-149.4068,280904.0,49521,17629.1544,0.0,0.0,49521,0.0,17629.1544,0.0,636,226.4119,0.0,0.0,636,0.0,226.4119,0.0
2/7/22,GLP,Guadeloupe,France,16.265,-61.551,400127.0,104179,26036.4834,0.0,0.0,104179,0.0,26036.4834,0.0,855,213.6822,0.0,0.0,855,0.0,213.6822,0.0
2/7/22,MTQ,Martinique,France,14.6415,-61.0242,375265.0,96619,25746.8722,2360.0,628.8889,96619,2360.0,25746.8722,628.8889,842,224.3748,0.0,0.0,842,0.0,224.3748,0.0
2/7/22,MYT,Mayotte,France,-12.8275,45.1662,272813.0,36474,13369.5975,0.0,0.0,36474,0.0,13369.5975,0.0,187,68.5451,0.0,0.0,187,0.0,68.5451,0.0
2/7/22,NCL,New Caledonia,France,-20.9043,165.618,285491.0,28628,10027.6366,2848.0,997.5796,28628,2848.0,10027.6366,997.5796,284,99.4777,0.0,0.0,284,0.0,99.4777,0.0
2/7/22,REU,Reunion,France,-21.1151,55.5364,895308.0,226005,25243.2682,0.0,0.0,226005,0.0,25243.2682,0.0,531,59.3092,0.0,0.0,531,0.0,59.3092,0.0
2/7/22,BLM,Saint Barthelemy,France,17.9,-62.8333,9885.0,3435,34749.6206,0.0,0.0,3435,0.0,34749.6206,0.0,6,60.698,0.0,0.0,6,0.0,60.698,0.0
2/7/22,SPM,Saint Pierre and Miquelon,France,46.8852,-56.3159,5795.0,985,16997.4116,9.0,155.3063,985,9.0,16997.4116,155.3063,1,17.2563,0.0,0.0,1,0.0,17.2563,0.0
2/7/22,MAF,St Martin,France,18.0708,-63.0501,38659.0,9439,24416.048,0.0,0.0,9439,0.0,24416.048,0.0,61,157.7899,0.0,0.0,61,0.0,157.7899,0.0
2/7/22,WLF,Wallis and Futuna,France,-14.2938,-178.1165,15289.0,454,2969.4552,0.0,0.0,454,0.0,2969.4552,0.0,7,45.7846,0.0,0.0,7,0.0,45.7846,0.0
